HTTP/1.0 200 OK
Server: jdbhttpd/0.1.0
Connection: Keep-Alive
Content-Type: text/plain
Content-Length: 0

80010000 T _text
80010400 t run_init_process
80010400 T _stext
8001042c T do_one_initcall
800105e0 t match_dev_by_uuid
80010620 T name_to_dev_t
80010a80 T get_system_type
80010a8c T get_current_cp2
80010aa0 t im_process
8001172c t efuse_data_read
800117f4 t c_hash
800118b0 T im_begin
80011900 T im_hash
80011908 T im_end
800119c8 T s
80011aa8 t vw
80011b34 T soc_support_mxuv2
80011b3c T xburst_cop2_save
80011c2c T xburst_cop2_restore
80011cc8 t xburst_mxu_call
80011e30 t mips_sc_wback_inv
80011f54 t mips_sc_inv
8001207c t mips_sc_enable
80012084 t mips_sc_disable
80012090 t pmon_open
800120c8 T on_each_cpu_pmon_prepare
80012104 T on_each_cpu_pmon_start
80012114 t pmon_write_proc
800123d0 T on_each_cpu_pmon_read
80012404 t pmon_proc_show
80012490 t cpu_open
800124c8 t cpu_proc_show
80012af0 t exec_write_proc
80012dc0 T __save_mxu
80012e44 T __restore_mxu
80012ed0 T jz_proc_mkdir
80012f3c T get_jz_proc_root
80012f90 T jz_notifier_call
80012fe8 T jz_notifier_unregister
80013044 t jz_notifier
80013064 T jz_notifier_register
80013100 T get_board_type
80013110 t wdt_start_count
8001318c t wdt_stop_count
800131d8 T wdt_shutdown
800131e0 t wdt_time_proc_open
80013218 t wdt_control_proc_open
80013250 t reset_proc_open
80013288 t wdt_time_proc_show
800132b0 t wdt_control_proc_show
800132ec t reset_proc_show
80013374 t wdt_time_write_proc
80013404 t wdt_control_write_proc
80013530 t reset_task
800135c0 T jz_wdt_restart
800136f8 t wdt_probe
800137f0 T wdt_resume
80013878 T wdt_suspend
800138ac T jz_hibernate
80013b00 t reset_write_proc
80013f18 T reset_keep_power
80013fb0 t tmr_src_enable
80013fdc t tmr_src_disable
80014014 t jz_get_cycles
8001409c t tmr_src_resume
800140c8 t jz_set_next_event
800141bc t jz_set_mode
8001439c t tmr_src_suspend
800143c8 t jz_timer_interrupt
8001443c T sched_clock
80014480 t putchar
800144b8 t putchar_dummy
800144c0 t check_uart
80014544 T prom_putchar
80014558 T prom_putstr
800145c0 T get_clk_sources_size
800145c8 T get_clk_from_id
800145e0 T get_clk_id
80014600 T clk_is_enabled
80014618 T clk_get_rate
80014638 T clk_set_rate
80014684 T clk_set_parent
80014700 T clk_get_parent
8001471c t clk_resume
8001473c t clk_suspend
80014760 t rate_open
80014798 t enable_open
800147d0 t rate_show
8001480c t enable_show
8001485c t clocks_show
80014a5c t clocks_open
80014a98 T clk_disable
80014b44 T clk_enable
80014c4c T clk_get
80014d6c T clk_put
80014e10 t rate_write
80014e98 t enable_write
80014f40 t cgu_get_parent
80014fd0 t cgu_set_rate
800152c8 t ddr_set_rate
80015618 t cgu_enable
800158dc t cgu_set_parent
80015bac t cgu_get_rate
80015d60 t get_cpccr_div
80015d94 t cpufreq_setting_cmp
80015dbc t cpccr_get_rate
80015ecc t search_cpufrq_setting
80015f2c t ahb_change_notify
800161a4 t cpccr_set_rate
80017710 t cpm_gate_enable
800177f0 t pll_get_rate
800179b0 T cal_pll_setting
80017aac t pll_set_rate
80017c70 t cpm_pwc_poweron
80017d3c t cpm_pwc_poweroff
80017e40 t cpm_pwc_enable
80017eac T cpm_pwc_is_enabled
80017f3c T cpm_pwc_enable_ctrl
8001800c T cpm_pwc_suspend
80018070 T cpm_pwc_resume
800180d0 T jzgpio_ctrl_pull
80018118 t jz_gpio_get
8001812c t jz_gpio_to_irq
80018138 t gpio_unmask_irq
80018160 t gpio_mask_irq
80018188 t gpio_mask_and_ack_irq
800181fc t gpio_set_wake
80018274 T gpio_resume
800182dc t jz_gpio_set
80018350 t jz_gpio_set_pull
800183cc t gpio_open
80018404 t gpio_proc_show
80018494 t gpio_startup_irq
80018534 t gpio_shutdown_irq
80018594 t gpio_set_func
80018790 t gpio_set_type
8001889c t jz_gpio_output
80018938 t jz_gpio_input
800189d0 t jz_gpio_free
80018a74 T jzgpio_set_func
80018aa0 t jz_gpio_request
80018bc8 t gpio_handler
80018c20 t mcu_gpio_handler
80018c94 T jz_gpio_save_reset_func
80018cfc T jz_gpio_restore_func
80018ea8 T jz_gpio_set_func
80018eec T jzgpio_phy_reset
80018f68 T mcu_gpio_register
80019038 T gpio_suspend_set
80019150 T gpio_suspend
80019220 t intc_irq_set_wake
8001927c t intc_irq_mask
800192b8 t intc_irq_unmask
800192f4 T plat_irq_dispatch
800193fc T arch_suspend_disable_irqs
80019520 T arch_suspend_enable_irqs
80019570 T jz_otg_phy_is_suspend
80019598 T jz_otg_phy_powerdown
800195d4 T jz_otg_sft_id_off
80019668 T jz_otg_phy_init
80019890 T jz_otg_phy_suspend
8001998c T jz_otg_sft_id
80019a64 T jz_otg_ctr_reset
80019ac0 T jz_device_register
80019ae0 t find_node
80019b1c t find_handle
80019b60 t unmap_node
80019c50 t dmmu_v2pfn
80019cf0 T dmmu_map
8001a230 T dmmu_unmap
8001a42c T dmmu_free_all
8001a578 T dmmu_unmap_all
8001a60c T dmmu_dump_vaddr
8001a6d0 t ddr_mon3_proc_read
8001a734 t ddr_mon2_proc_read
8001a798 t ddr_mon1_proc_read
8001a7fc t ddr_mon3_proc_open
8001a834 t ddr_mon2_proc_open
8001a86c t ddr_mon1_proc_open
8001a8a4 t ddr_register_proc_open
8001a8dc t ddr_mon3_proc_write
8001a9b4 t ddr_mon2_proc_write
8001aa8c t timercount1
8001ab0c t ddr_mon1_proc_write
8001abe8 t dump_out_ddr
8001b0a0 t timercount3
8001b1d4 t timercount2
8001b320 t local_set_watch
8001b368 t watch_proc_open
8001b3a0 t watch_proc_show
8001b3c8 t trace_get_task_struct
8001b428 t watch_write_proc
8001b640 T __compute_return_epc_for_insn
8001baf4 T __isa_exception_epc
8001bb5c T __microMIPS_compute_return_epc
8001bd04 T __MIPS16e_compute_return_epc
8001be58 T __compute_return_epc
8001bec0 T ret_from_irq
8001bec4 t resume_userspace_check
8001bec4 T ret_from_exception
8001bed4 t resume_userspace
8001bf0c t resume_kernel
8001bf38 t need_resched
8001bf68 T ret_from_kernel_thread
8001bf84 T ret_from_fork
8001bf8c T syscall_exit
8001bfc4 t restore_all
8001c020 t restore_partial
8001c080 t work_pending
8001c08c t work_resched
8001c0d0 t work_notifysig
8001c0e8 T syscall_exit_partial
8001c144 t syscall_exit_work
8001c1a0 T __r4k_wait
8001c1e0 T rollback_handle_int
8001c200 T handle_int
8001c310 T rollback_except_vec_vi
8001c330 T except_vec_vi
8001c3a8 T except_vec_vi_lui
8001c3b0 T except_vec_vi_ori
8001c3b4 T except_vec_vi_end
8001c3b4 T except_vec_vi_handler
8001c44c T ejtag_debug_handler
8001c604 t ejtag_return
8001c60c T nmi_handler
8001c7e0 T handle_adel
8001c8a8 T handle_adel_int
8001c900 T handle_ades
8001c9c8 T handle_ades_int
8001ca20 T handle_ibe
8001cae8 T handle_ibe_int
8001cb40 T handle_dbe
8001cc08 T handle_dbe_int
8001cc60 T handle_bp
8001cd28 T handle_bp_int
8001cd80 T handle_ri
8001ce48 T handle_ri_int
8001cea0 T handle_cpu
8001cf68 T handle_cpu_int
8001cfc0 T handle_ov
8001d088 T handle_ov_int
8001d0e0 T handle_tr
8001d1a8 T handle_tr_int
8001d200 T handle_fpe
8001d2c8 T handle_fpe_int
8001d320 T handle_mfpe
8001d3e8 T handle_mfpe_int
8001d440 T handle_mdmx
8001d508 T handle_mdmx_int
8001d560 T handle_watch
8001d628 T handle_watch_int
8001d680 T handle_mcheck
8001d748 T handle_mcheck_int
8001d7a0 T handle_mt
8001d868 T handle_mt_int
8001d8c0 T handle_dsp
8001d988 T handle_dsp_int
8001d9e0 T handle_reserved
8001daa8 T handle_reserved_int
8001db00 T handle_ri_rdhwr_vivt
8001db48 T handle_ri_rdhwr
8001db60 t docheck
8001db68 t isrdhwr
8001dba0 t r3081_wait
8001dbd4 t au1k_wait
8001dc0c t r39xx_wait
8001dc50 T r4k_wait_irqoff
8001dc88 T __pastwait
8001dc90 t rm7k_wait_irqoff
8001dcdc t jz_wait_irqoff
8001dd70 T r4k_wait
8001dda8 T arch_cpu_idle
8001ddf0 T allocate_irqno
8001de74 T free_irqno
8001deb0 T ack_bad_irq
8001ded4 T arch_show_interrupts
8001df10 T spurious_interrupt
8001df30 T do_IRQ
8001df60 t get_frame_info
8001e09c T unwind_stack_by_address
8001e200 T start_thread
8001e258 T exit_thread
8001e260 T flush_thread
8001e268 T copy_thread
8001e424 T dump_fpu
8001e450 T elf_dump_regs
8001e4cc T dump_task_regs
8001e4f4 T dump_task_fpu
8001e520 T thread_saved_pc
8001e55c T unwind_stack
8001e564 T get_wchan
8001e60c T arch_align_stack
8001e670 T mips_get_machine_name
8001e680 T ptrace_disable
8001e6ac T ptrace_getregs
8001e7a0 T ptrace_setregs
8001e83c T ptrace_getfpregs
8001e9d8 T ptrace_setfpregs
8001eab8 T ptrace_get_watch_regs
8001ebc0 T ptrace_set_watch_regs
8001ed04 T arch_ptrace
8001f224 T syscall_trace_enter
8001f2b4 T syscall_trace_leave
8001f320 T machine_restart
8001f340 T machine_halt
8001f360 T machine_power_off
8001f380 t signal_setup
8001f3a8 t do_signal
8001f5b4 T setup_sigcontext
8001f7fc T fpcsr_pending
8001f840 T restore_sigcontext
8001fb48 T get_sigframe
8001fbb0 t setup_rt_frame
8001fd04 t setup_frame
8001fe04 T SyS_sigsuspend
8001fe04 T sys_sigsuspend
8001fe20 T SyS_sigaction
8001fe20 T sys_sigaction
8001ff40 T sys_sigreturn
8001fffc T sys_rt_sigreturn
800200c8 T do_notify_resume
80020160 T __sys_fork
80020188 T __sys_clone
800201b0 T sysm_pipe
800201f4 T SyS_mips_mmap
800201f4 T sys_mips_mmap
8002022c T SyS_mips_mmap2
8002022c T sys_mips_mmap2
80020254 T SyS_set_thread_area
80020254 T sys_set_thread_area
80020268 T SyS_sysmips
80020268 T sys_sysmips
800203cc T SyS_cachectl
800203cc T sys_cachectl
800203d4 T bad_stack
800203f0 t null_perf_irq
800203f8 W rtc_mips_set_time
80020400 W rtc_mips_set_mmss
8002041c T update_persistent_clock
80020440 t show_code
80020530 t __show_regs
800208c0 t show_stacktrace
80020acc t process_fpemu_return.part.6
80020b60 t simulate_rdhwr_normal
80020c5c T show_stack
80020ccc T show_regs
80020cd4 T show_registers
80020d74 T die
80020ed4 t default_cu2_call
80020f20 t do_trap_or_bp
800210c0 T do_be
80021260 T do_ov
800212c4 T process_fpemu_return
80021308 T do_fpe
800215f4 T do_mfpe
80021634 T do_bp
80021780 T do_tr
80021864 T do_ri
80021abc T cu2_notifier_call_chain
80021ae8 T do_cpu
80021f10 T do_mdmx
80021f30 T do_watch
80021f84 T do_mcheck
8002204c T do_mt
8002212c T do_dsp
8002214c T do_reserved
80022178 T cache_parity_error
800223a4 T ejtag_exception_handler
80022450 T register_nmi_notifier
80022474 T nmi_exception_handler
800224d4 T set_vi_handler
800224d8 T set_handler
80022530 T do_ade
80022b30 T mips_install_watch_registers
80022be8 T mips_read_watch_registers
80022c8c T mips_clear_watch_registers
80022cf0 T arch_setup_additional_pages
80022d98 T arch_vma_name
80022dd0 T apply_r_mips_none
80022dd8 t apply_r_mips_32_rel
80022dec t apply_r_mips_lo16_rel
80022ef8 t apply_r_mips_hi16_rel
80022f60 t apply_r_mips_26_rel
80022fe4 T apply_relocate
80023150 T search_module_dbetables
80023210 T module_finalize
80023384 T module_arch_cleanup
80023430 T _save_fp_context
80023434 t .ex0
80023438 t .ex1
8002343c t .ex2
80023440 t .ex3
80023444 t .ex4
80023448 t .ex5
8002344c t .ex6
80023450 t .ex7
80023454 t .ex8
80023458 t .ex9
8002345c t .ex10
80023460 t .ex11
80023464 t .ex12
80023468 t .ex13
8002346c t .ex14
80023470 t .ex15
80023474 t .ex16
80023480 t .ex17
80023480 T _restore_fp_context
80023484 t .ex18
80023488 t .ex19
8002348c t .ex20
80023490 t .ex21
80023494 t .ex22
80023498 t .ex23
8002349c t .ex24
800234a0 t .ex25
800234a4 t .ex26
800234a8 t .ex27
800234ac t .ex28
800234b0 t .ex29
800234b4 t .ex30
800234b8 t .ex31
800234bc t .ex32
800234c0 t .ex33
800234d0 t fault
800234e0 T resume
800235e8 T _save_fp
80023638 T _restore_fp
80023688 T _init_fpu
80023760 t unmask_mips_irq
8002378c t mask_mips_irq
800237bc t mips_cpu_intc_map
80023800 T handle_sys
800238dc t stack_done
80023920 t o32_syscall_exit
80023928 t syscall_trace_entry
800239c8 t stackargs
80023a20 t bad_stack
80023a38 t illegal_syscall
80023a50 T sys_syscall
80023abc t einval
80023ac8 T sys_call_table
800245c0 t c_start
800245cc t c_next
800245f0 t c_stop
800245f8 t show_cpuinfo
80024b30 t early_console_write
80024ba0 T __flush_anon_page
80024c6c T __flush_dcache_page
80024cf8 T SyS_cacheflush
80024cf8 T sys_cacheflush
80024d58 T __update_cache
80024e18 W __uncached_access
80024e50 T mips_dma_mapping_error
80024e58 T mips_dma_supported
80024e78 t mips_dma_map_sg
80024fa8 t mips_dma_map_page
8002506c t mips_dma_unmap_sg
80025174 t mips_dma_sync_sg_for_cpu
800252a0 t mips_dma_sync_sg_for_device
800253a8 t mips_dma_free_coherent
80025424 T dma_free_noncoherent
80025454 t mips_dma_alloc_coherent
80025530 T dma_alloc_noncoherent
800255b0 t mips_dma_unmap_page
8002563c t mips_dma_sync_single_for_cpu
800256c8 t mips_dma_sync_single_for_device
8002573c T dma_cache_sync
800257b0 T fixup_exception
80025810 T do_page_fault
80025c30 t gup_pte_range
80025d5c T __get_user_pages_fast
80025e84 T get_user_pages_fast
80026060 T copy_from_user_page
80026084 T setup_zero_pages
80026114 T kmap_coherent
80026220 T kunmap_coherent
800262e0 T copy_user_highpage
800263dc T copy_to_user_page
800264b0 T page_is_ram
8002652c T free_init_pages
80026640 T __virt_addr_valid
8002665c t arch_get_unmapped_area_common
80026840 T arch_get_unmapped_area_topdown
80026868 T arch_get_unmapped_area
80026890 T arch_pick_mmap_layout
8002699c T arch_randomize_brk
80026a00 T clear_page
80026a00 T __clear_page_start
80026b28 T copy_page
80026b28 T __clear_page_end
80026b28 T __copy_page_start
80027070 T tlb_do_page_fault_0
80027070 T __copy_page_end
80027180 T tlb_do_page_fault_1
80027290 T __iounmap
800272fc T __ioremap
80027620 T pgd_init
80027670 t blast_scache16
80027748 t blast_scache16_page
800277e4 t blast_scache16_page_indexed
800278cc t blast_dcache32
800279a8 t blast_dcache32_page_indexed
80027a94 t blast_icache32
80027b7c t blast_icache32_page
80027c28 t blast_icache32_page_indexed
80027d20 t blast_scache32
80027df8 t blast_scache32_page
80027e94 t blast_scache32_page_indexed
80027f7c t blast_scache64
80028054 t blast_scache64_page
800280f0 t blast_scache64_page_indexed
800281d8 t blast_scache128
800282b0 t blast_scache128_page
80028338 t blast_scache128_page_indexed
80028420 t cache_noop
80028428 t r4k_blast_dcache_page_dc32
800284c8 t r4k_flush_cache_mm
800284d0 t local_r4k_flush_data_cache_page
800284e0 t local_r4k_flush_icache_range
800285c4 t r4k_flush_icache_all
800285cc t r4k_flush_cache_page
800287dc t r4k_mips_flush_data_cache_range
80028894 t r4k_flush_cache_sigtramp
80028928 t r4k_dma_cache_inv
80028a04 t r4k_dma_cache_wback_inv
80028aec t r4k_flush_cache_range
80028b90 t r4k_flush_icache_range
80028c84 t r4k__flush_cache_vmap
80028cfc t r4k___flush_cache_all
80028d94 t r4k_flush_data_cache_page
80028e0c t r4k_flush_kernel_vmap_range
80028ef8 t r4k__flush_cache_vunmap
80028f70 T au1x00_fixup_config_od
80028ff0 T except_vec2_generic
80029020 T local_flush_tlb_all
80029114 T local_flush_tlb_mm
800291e8 T local_flush_tlb_range
8002939c T local_flush_tlb_kernel_range
800294dc T local_flush_tlb_page
800295c0 T local_flush_tlb_one
80029684 T __update_tlb
800297a4 T add_wired_entry
80029880 t microMIPS32_to_MIPS32
8002a134 t fpuemu_stat_get
8002a154 t fops_fpuemu_stat_open
8002a184 t fpemu_sp_msub
8002a25c t fpemu_sp_madd
